"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Bahamas, The","BHS","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","36.9000015258789","37.7000007629395","43.7000007629395","37.4000015258789","37.5","36.9000015258789","37.7999992370605","30.3999996185303","","","","34.9000015258789","35.0999984741211","","","","","","","51.9000015258789","","",
"Bosnia and Herzegovina","BIH","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.1000003814697","86.5","86.4000015258789","83.5","82.1999969482422","89.6999969482422","90.5","",
"Belarus","BLR","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.5999984741211","52.7999992370605","45.5999984741211","46","53","53","54.9000015258789","","","","","","","","","","","","","","",
"Bermuda","BMU","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","19.7000007629395","","","",
"Brazil","BRA","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2999992370605","26.2000007629395","24.6000003814697","22.6000003814697","20.7999992370605","18.8999996185303","15.6999998092651","17.7000007629395","16","14.6000003814697","",
"Barbados","BRB","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.2000007629395","61.7000007629395","59.0999984741211","61.9000015258789","55.9000015258789","58.9000015258789","54.7000007629395","49.2999992370605","50.7999992370605","46.7999992370605","","","12.5","12.6000003814697","14","13.6000003814697","12.1999998092651","13.8999996185303","16.2999992370605","17","19.5","",
"Brunei Darussalam","BRN","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
